id,lat,lng,category,source
potential-map2-0127,50.40393,-4.20716,undifferentiated,1940s-map
potential-map2-0128,50.40397,-4.19599,undifferentiated,1940s-map
potential-map2-0129,50.40397,-4.17307,undifferentiated,1940s-map
potential-map2-0130,50.40395,-4.16106,undifferentiated,1940s-map
potential-map2-0131,50.40392,-4.18037,undifferentiated,1940s-map
potential-map2-0132,50.40385,-4.17600,undifferentiated,1940s-map
potential-map2-0133,50.40371,-4.17899,undifferentiated,1940s-map
potential-map2-0134,50.40359,-4.17785,undifferentiated,1940s-map
potential-map2-0135,50.40345,-4.20692,undifferentiated,1940s-map
potential-map2-0136,50.40351,-4.20236,undifferentiated,1940s-map
potential-map2-0137,50.40341,-4.19590,undifferentiated,1940s-map
potential-map2-0138,50.40349,-4.15711,undifferentiated,1940s-map
potential-map2-0139,50.40349,-4.13255,undifferentiated,1940s-map
potential-map2-0140,50.40339,-4.12509,undifferentiated,1940s-map
potential-map2-0141,50.40323,-4.18239,undifferentiated,1940s-map
potential-map2-0142,50.40324,-4.15998,undifferentiated,1940s-map
potential-map2-0143,50.40325,-4.15446,undifferentiated,1940s-map
potential-map2-0144,50.40312,-4.17987,undifferentiated,1940s-map
potential-map2-0145,50.40303,-4.20636,undifferentiated,1940s-map
potential-map2-0146,50.40298,-4.17859,undifferentiated,1940s-map
potential-map2-0147,50.40292,-4.15794,undifferentiated,1940s-map
potential-map2-0148,50.40287,-4.12509,undifferentiated,1940s-map
potential-map2-0149,50.40273,-4.16133,undifferentiated,1940s-map
potential-map2-0150,50.40258,-4.18269,undifferentiated,1940s-map
potential-map2-0151,50.40256,-4.17995,undifferentiated,1940s-map
potential-map2-0152,50.40245,-4.20759,undifferentiated,1940s-map
potential-map2-0153,50.40243,-4.20185,undifferentiated,1940s-map
potential-map2-0154,50.40228,-4.19881,undifferentiated,1940s-map
potential-map2-0155,50.40202,-4.19874,undifferentiated,1940s-map
potential-map2-0156,50.40248,-4.19880,undifferentiated,1940s-map
potential-map2-0157,50.40252,-4.17736,undifferentiated,1940s-map
potential-map2-0158,50.40250,-4.17260,undifferentiated,1940s-map
potential-map2-0159,50.40244,-4.18603,undifferentiated,1940s-map
potential-map2-0160,50.40245,-4.17489,undifferentiated,1940s-map
potential-map2-0161,50.40242,-4.17365,undifferentiated,1940s-map
potential-map2-0162,50.40245,-4.15355,undifferentiated,1940s-map
potential-map2-0163,50.40252,-4.12615,undifferentiated,1940s-map
potential-map2-0164,50.40242,-4.15440,undifferentiated,1940s-map
potential-map2-0165,50.40212,-4.15409,undifferentiated,1940s-map
potential-map2-0166,50.40221,-4.19979,undifferentiated,1940s-map
potential-map2-0167,50.40232,-4.16040,undifferentiated,1940s-map
potential-map2-0168,50.40237,-4.13174,undifferentiated,1940s-map
potential-map2-0169,50.40218,-4.19769,undifferentiated,1940s-map
